0 0.0280053044 0 0.4329916612 0.5390030344 0 0 0 0 0 
0 0 0 0.1323089600 0.8676910400 0 0 0 0 0 
0 0 0 0.0877227783 0.9122772217 0 0 0 0 0 
0 0 0 0 1.0000000000 0 0 0 0 0 
0 0 0 0 1.0000000000 0 0 0 0 0 
0 0 0 0 1.0000000000 0 0 0 0 0 
0 0 0 0 1.0000000000 0 0 0 0 0 
0 0 0 0 1.0000000000 0 0 0 0 0 
0 0 0 0.0117187500 0.9882812500 0 0 0 0 0 
0 0 0 0 1.0000000000 0 0 0 0 0 
0 0 0.2001953125 0 0.7998046875 0 0 0 0 0 
0 0 0 0 1.0000000000 0 0 0 0 0 
0 0 0 0.0058593750 0.9941406250 0 0 0 0 0 
0 0 0.2783203125 0 0.7216796875 0 0 0 0 0 
0 0 0.6997070313 0 0.3002929688 0 0 0 0 0 
0 0 0.0771484375 0 0.9228515625 0 0 0 0 0 
0 0 0.2783203125 0 0 0 0 0 0.7216796875 0 
0 0 0.4702148438 0 0 0 0 0 0.5297851563 0 
0 0 0 0 1.0000000000 0 0 0 0 0 
0 0 0.3369140625 0 0.6630859375 0 0 0 0 0 
0 0 0.6923828125 0 0.3076171875 0 0 0 0 0 
0 0 0.9882812500 0 0.0117187500 0 0 0 0 0 
0 0 0.8496093750 0 0 0 0 0 0.1503906250 0 
0 0 0.5813598633 0 0 0 0.4186401367 0 0 0 
0 0 0.3337858410 0.1995301739 0.4666839851 0 0 0 0 0 
0 0 0 1.0000000000 0 0 0 0 0 0 
0 0 0 1.0000000000 0 0 0 0 0 0 
0 0 1.0000000000 0 0 0 0 0 0 0 
0 0 1.0000000000 0 0 0 0 0 0 0 
0 0 0.9892673492 0 0.0107326508 0 0 0 0 0 
0 0 0.9931640625 0 0 0 0 0 0.0068359375 0 
0.2597833095 0 0 0.1368632914 0.5010445917 0 0 0 0.1023088074 0 
0 0 0 0.9805297852 0.0194702148 0 0 0 0 0 
0 0 0.0441010384 0.4850430229 0.3611289224 0 0 0 0 0.1097270163 
0 0 0 0.8303833008 0.1696166992 0 0 0 0 0 
0 0 0.9404392242 0.0302639008 0.0292968750 0 0 0 0 0 
0.1031732783 0 0 0 0.8762020990 0 0 0 0.0206246227 0 
0.3659788370 0 0.5280374289 0 0 0 0 0 0.1059837341 0 
0 0 0 0.7022233275 0.0582230389 0 0 0 0 0.2395536336 
0.0075683594 0 0.6244792938 0 0 0 0 0 0.3679523468 0 
0 0 0.7545204417 0.0459379092 0.1995416491 0 0 0 0 0 
0 0 0 0 0 0 0 0 1.0000000000 0 
0 0 0.0273437500 0 0 0 0 0 0.9726562500 0 
0 0 0 0.8022460938 0.1977539063 0 0 0 0 0 
0 0 0.8564453125 0 0 0 0 0 0.1435546875 0 
0 0 0.2343750000 0 0 0 0 0 0.7656250000 0 
0 0 0.4692382813 0 0 0 0 0 0.5307617188 0 
0 0 0.5156250000 0 0.4843750000 0 0 0 0 0 
0 0 0.7131347656 0 0 0 0 0 0.2868652344 0 
0 0 0 0.1017336593 0.1159049968 0.5146321771 0.2677291668 0 0 0 
0 0 0.7391662598 0 0.1914062500 0 0 0 0 0.0694274902 
0 0 0 0 0 0 0 0 1.0000000000 0 
0 0 0 0 0 0 0 0 1.0000000000 0 
0 0 0.0583801270 0 0 0 0 0 0.9416198730 0 
0 0 1.0000000000 0 0 0 0 0 0 0 
0.0294713971 0 0.4925769060 0.0215713629 0.1551787677 0 0 0.3012015663 0 0 
0 0 0.6705883409 0.0348384798 0 0.2030604197 0 0.0915127596 0 0 
0 0.1842578735 0 0.5421658958 0 0 0 0 0 0.2735762307 
0 0 0.4100839456 0 0 0 0 0.4234903946 0.1664256598 0 
0 0 1.0000000000 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 1.0000000000 0 
0 0 0.4611137509 0 0 0 0 0.4709998965 0.0678863525 0 
0 0 0.7941761017 0 0 0.0113525391 0 0.1944713593 0 0 
0.9885281324 0 0 0 0 0 0 0 0 0.0114718676 
0.0204991331 0 0 0 0 0 0 0.7187305337 0.2607703331 0 
0 0 0 0 0 0 0 1.0000000000 0 0 
0 0 0 0 0 0 0 1.0000000000 0 0 
0.0272373019 0 0 0 0 0 0 0.7023327009 0.2704299972 0 
0.2043457031 0 0 0 0 0 0 0 0.7956542969 0 
0.4905686746 0 0 0 0 0 0 0.2850401332 0.2243911922 0 
0 0 0 0.0654325485 0 0.9228944778 0.0116729736 0 0 0 
0 0 0 0.0538994313 0 0.6820346410 0.2350607079 0.0290052197 0 0 
0.0141906738 0 0 0 0 0 0.4772796631 0.5085296631 0 0 
0 0 0 0.1439514756 0 0.8063924696 0.0374641418 0.0121919130 0 0 
0 0 0 0 0 1.0000000000 0 0 0 0 
