0 0.1961126154 0.0101460786 0.0337239547 0.5932519510 0 0.1667654003 0 0 0 
0 0 0.0468826739 0.0956058849 0.8079045717 0 0.0496068695 0 0 0 
0 0.0001205227 0.0185952760 0.0288842830 0.9173356437 0 0.0350642747 0 0 0 
0 0 0.0000589681 0 0.9999410319 0 0 0 0 0 
0 0 0 0 1.0000000000 0 0 0 0 0 
0 0 0 0.0019531250 0.9980468750 0 0 0 0 0 
0 0 0.0000700951 0 0.9999299049 0 0 0 0 0 
0 0 0 0 1.0000000000 0 0 0 0 0 
0 0.0113128173 0 0 0.9560551712 0.0326320115 0 0 0 0 
0 0 0.0004320145 0 0.9995679855 0 0 0 0 0 
0 0 0.3278350830 0 0.6721649170 0 0 0 0 0 
0 0 0.0193958282 0 0.9806041718 0 0 0 0 0 
0 0 0.0075622564 0.0482385508 0.9198270008 0.0243721920 0 0 0 0 
0 0 0.5351943850 0.0165917192 0.4428040092 0.0054098866 0 0 0 0 
0 0 0.8663713783 0 0.1336286217 0 0 0 0 0 
0.0286880732 0 0.4542179007 0 0.5170940261 0 0 0 0 0 
0 0 0.4177757055 0 0 0 0 0 0.5822242945 0 
0 0 0.6985858679 0 0 0 0 0 0.3014141321 0 
0 0 0 0 1.0000000000 0 0 0 0 0 
0 0 0.5480556488 0 0.4519443512 0 0 0 0 0 
0 0 0.7040348053 0 0.2959651947 0 0 0 0 0 
0 0 0.9922027588 0 0.0077972412 0 0 0 0 0 
0 0 0.9687500000 0 0 0 0 0 0.0312500000 0 
0.4207402502 0 0.5792597498 0 0 0 0 0 0 0 
0 0.0030880728 0.5848624106 0.3407664632 0.0712830534 0 0 0 0 0 
0 0 0 0.8659754971 0.0024777204 0 0.1315467825 0 0 0 
0 0 0 0.9727475968 0.0000000104 0.0000000740 0.0272523189 0 0 0 
0 0 0.9065489769 0 0 0 0 0.0934510231 0 0 
0 0 0.8612084389 0 0 0 0 0.1387915611 0 0 
0 0 1.0000000000 0 0 0 0 0 0 0 
0 0 1.0000000000 0 0 0 0 0 0 0 
0.1386619934 0 0.0948022907 0.0794425782 0.5751301847 0 0.0017147144 0 0.1102482385 0 
