Iteration, Likelihood, Converged 
1, -12806422120.7342380000, 1.#INF0e+000 
2, -4291745613.5614762000, 6.64876e-001 
3, -4277821106.3426123000, 3.24449e-003 
4, -4275779117.5749450000, 4.77343e-004 
5, -4274742990.6934900000, 2.42325e-004 
6, -4274061889.1504097000, 1.59332e-004 
7, -4273620470.1506476000, 1.03279e-004 
8, -4273329546.8620558000, 6.80742e-005 
