0.0021946650 0 0 0 0 0 0.0032640156 0 0 0 0 0 0.0054423104 0 0 0.0859515978 0.0127865133 0 0 0 0 0 0.0094064062 0 0 0 0 0 0 0.0065908701 0 0 0 0.0949299401 0 0 0 0 0 0.7794336815 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0794017392 0 0 0 0 0.0019234880 0.0115690301 0.0105675884 0.8913193042 0 0 0 0 0 0 0 0 0.0052188501 0 
0 0 0 0 0 0 0 0.3464908547 0 0 0 0 0 0 0.1100079957 0 0 0 0 0 0 0.0133697110 0 0 0 0 0.0069006221 0.0021044814 0 0 0.1705801437 0 0 0.0189722204 0 0 0 0 0 0.0323755924 0 0 0 0 0.2991983786 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0.0011052603 0 0 0 0 0 0.0047166262 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0388656290 0.1665503417 0 0 0 0 0.7887621428 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0005766153 0 0 0 0.9994233847 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.0064921087 0 0 0 0 0 0 0.0045650935 0 0 0 0 0 0 0 0 0.0096154777 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1582087842 0.0092784455 0 0.2100489279 0.0095609484 0 0 0 0 0.5705531990 0 0 0 0.0189795980 0 0 0 0 0 0.0026974172 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5069937677 0 0 0 0 0.0004615166 0 0 0 0.2912613226 0 0 0.1693884740 0 0 0 0.0246959358 0.0034416500 0 0.0014353530 0 0 0 0 0 0 0 0 0 0 0.0023219803 0 0 
0 0 0 0 0.1423919500 0 0 0 0 0.1840457656 0 0 0 0 0 0 0 0 0 0.0224340559 0 0 0 0 0 0 0.6099535857 0 0 0 0 0 0 0 0 0 0 0.0411746428 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 1.0000000000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.0044577836 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0021118787 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7633048414 0 0.1325347445 0 0 0 0 0 0 0 0 0 0.0842244837 0.0133662681 0 0 0 0 0 
